Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,8.909615,9.051923,8.801923,8.944230,8.311276,7841600
2016-03-02,8.876923,9.078846,8.859615,9.032692,8.393478,9096880
2016-03-03,9.092307,9.134615,8.880769,8.936538,8.304128,11430640
2016-03-04,9.034615,9.034615,8.559615,8.951923,8.318425,13808080
2016-03-07,8.975000,9.230769,8.834615,8.984615,8.348806,10463440
2016-03-08,9.003846,9.132692,8.919230,9.105769,8.461389,11531000
2016-03-09,9.130769,9.159615,8.971153,9.063461,8.422071,5892640
2016-03-10,9.134615,9.298076,8.844230,9.298076,8.640080,12040600
2016-03-11,9.280769,9.296153,9.163461,9.236538,8.582902,5515120
2016-03-14,9.211538,9.292307,9.044230,9.159615,8.511420,5124080
2016-03-15,9.096153,9.230769,8.923076,8.990384,8.354168,7390240
2016-03-16,8.928846,9.040384,8.811538,8.971153,8.336298,7049120
2016-03-17,9.096153,9.440384,8.959615,9.369230,8.706202,8714680
2016-03-18,9.434615,9.776923,9.425000,9.717307,9.029648,11203920
2016-03-21,9.711538,9.986538,9.615384,9.961538,9.256596,7225400
2016-03-22,9.936538,10.065384,9.842307,9.913461,9.237751,8139040
2016-03-23,9.807692,10.048076,9.761538,10.048076,9.363188,6156280
2016-03-24,9.905769,10.032692,9.807692,9.990384,9.309428,7677800
2016-03-28,10.057692,10.173076,9.951923,10.173076,9.479669,4326920
2016-03-29,10.153846,10.296153,10.003846,10.003846,9.321973,5441800
2016-03-30,10.105769,10.340384,10.040384,10.082692,9.395443,8391240
2016-03-31,10.034615,10.034615,10.034615,10.034615,9.350644,1040
2016-04-01,10.163461,10.163461,10.163461,10.163461,9.470707,3640
2016-04-04,9.871153,9.871153,9.871153,9.871153,9.198322,11960
2016-04-05,9.648076,9.648076,9.648076,9.648076,8.990451,9880
2016-04-06,9.665384,9.665384,9.665384,9.665384,9.006582,8320
2016-04-07,10.128846,10.128846,10.128846,10.128846,9.438454,5720
2016-04-08,10.355769,10.453846,10.294230,10.388461,9.680373,9924720
2016-04-11,10.253846,10.253846,10.253846,10.253846,9.554931,5200
2016-04-12,10.298076,10.298076,10.298076,10.298076,9.596148,5200
2016-04-13,10.161538,10.161538,10.161538,10.161538,9.468916,41080
2016-04-14,10.244230,10.423076,10.126923,10.273076,9.572851,6896240
2016-04-15,10.292307,10.776923,10.290384,10.776923,10.042356,7365800
2016-04-18,10.825000,10.825000,10.401923,10.482692,9.768180,4339400
2016-04-19,10.676923,10.676923,10.676923,10.676923,9.949171,520
2016-04-20,10.638461,10.638461,10.301923,10.400000,9.691123,5921760
2016-04-22,10.319230,10.469230,10.169230,10.284615,9.583606,4664400
2016-04-25,10.325000,10.375000,10.180769,10.242307,9.544182,4506840
2016-04-26,10.338461,10.503846,10.250000,10.250000,9.551349,2567760
2016-04-27,10.380769,10.648076,10.323076,10.573076,9.852403,3408600
2016-04-28,10.505769,10.663461,10.413461,10.576923,9.855987,3536000
2016-04-29,10.700000,10.861538,10.584615,10.584615,9.863157,5814640
2016-05-02,10.651923,10.682692,10.471153,10.546153,9.827314,3713320
2016-05-03,10.478846,10.578846,10.307692,10.384615,9.676787,2673840
2016-05-04,10.436538,10.578846,10.155769,10.403846,9.694708,2932800
2016-05-05,10.440384,10.525000,10.303846,10.326923,9.623029,2321800
2016-05-06,10.286538,10.430769,10.265384,10.375000,9.667830,2359760
2016-05-09,10.376923,10.532692,10.263461,10.465384,9.752051,3107000
2016-05-10,10.553846,10.663461,10.242307,10.576923,9.855987,4587440
2016-05-11,10.734615,10.798076,10.621153,10.692307,9.963512,6315920
2016-05-12,10.780769,11.242307,10.700000,11.067307,10.312948,4936360
2016-05-13,11.100000,11.201923,10.998076,11.105769,10.348788,5131360
2016-05-16,11.178846,11.230769,11.042307,11.173076,10.411508,2810600
2016-05-17,11.228846,11.263461,10.971153,11.017307,10.266357,5173480
2016-05-18,10.884615,11.015384,10.725000,10.788461,10.053109,4289480
2016-05-19,10.671153,10.701923,10.403846,10.411538,9.701879,7714720
2016-05-20,10.557692,10.919230,10.525000,10.778846,10.044148,7628400
2016-05-23,10.576923,11.080769,10.576923,10.998076,10.248436,6178120
2016-05-24,11.005769,11.226923,10.940384,10.940384,10.194675,3251040
2016-05-25,11.057692,11.107692,10.765384,10.773076,10.038774,3007680
2016-05-27,10.740384,11.021153,10.723076,10.746153,10.013680,4969120
2016-05-30,10.875000,10.940384,10.730769,10.905769,10.162422,1630720
2016-05-31,10.925000,11.178846,10.838461,11.103846,10.346997,14933360
2016-06-01,11.140384,11.561538,11.098076,11.501923,10.717938,7791160
2016-06-02,11.555769,11.605769,11.363461,11.517307,10.732275,3945240
2016-06-03,11.534615,11.769230,11.451923,11.663461,10.868470,4384120
2016-06-06,11.663461,11.825000,11.655769,11.719230,10.920435,3677960
2016-06-07,11.682692,11.786538,11.528846,11.623076,10.830834,4434040
2016-06-08,11.615384,11.909615,11.615384,11.730769,10.931190,6252480
2016-06-09,11.786538,11.859615,11.711538,11.742307,10.941938,2395120
2016-06-10,11.596153,11.782692,11.546153,11.626923,10.834417,2399280
2016-06-13,11.623076,11.748076,11.461538,11.692307,10.895345,3436680
2016-06-14,11.692307,11.723076,11.292307,11.317307,10.545908,5742880
2016-06-15,11.321153,11.603846,11.271153,11.538461,10.751987,7614880
2016-06-16,11.430769,11.621153,11.309615,11.615384,10.823666,4606160
2016-06-17,11.723076,11.723076,11.430769,11.467307,10.685681,5123560
2016-06-20,11.640384,11.859615,11.590384,11.769230,10.967027,2931760
2016-06-21,11.776923,11.982692,11.700000,11.982692,11.165940,3439280
2016-06-22,11.913461,11.984615,11.563461,11.730769,10.931190,4662320
2016-06-23,11.736538,11.780769,11.615384,11.653846,10.859508,4542720
2016-06-24,11.644230,11.644230,11.319230,11.480769,10.698227,7046000
2016-06-27,11.442307,11.807692,11.440384,11.692307,10.921898,4411680
2016-06-28,11.705769,11.878846,11.655769,11.734615,10.961421,4080440
2016-06-29,11.917307,11.988461,11.826923,11.959615,11.171594,5494840
2016-06-30,11.988461,12.207692,11.840384,12.142307,11.342252,7829120
2016-07-01,12.136538,12.188461,11.884615,12.001923,11.211115,8539440
2016-07-04,12.073076,12.073076,11.896153,11.973076,11.184167,1746160
2016-07-05,11.867307,12.176923,11.857692,12.019230,11.227283,3331120
2016-07-06,11.961538,12.007692,11.826923,11.865384,11.083574,3995680
2016-07-07,11.923076,11.923076,11.625000,11.663461,10.894956,4465240
2016-07-08,11.792307,11.998076,11.751923,11.921153,11.135668,3320720
2016-07-11,11.973076,12.201923,11.936538,12.103846,11.306324,3758040
2016-07-12,12.198076,12.296153,12.109615,12.201923,11.397937,3921840
2016-07-13,12.201923,12.288461,12.009615,12.184615,11.381769,4682080
2016-07-14,12.269230,12.284615,12.038461,12.130769,11.331472,3545360
2016-07-15,12.132692,12.244230,11.903846,12.057692,11.263208,3692000
2016-07-18,12.038461,12.201923,11.975000,12.163461,11.362010,3619720
2016-07-19,12.144230,12.432692,12.061538,12.311538,11.500330,11941280
2016-07-20,12.413461,12.669230,12.223076,12.271153,11.462607,7231640
2016-07-21,12.388461,12.450000,12.153846,12.288461,11.478774,3042000
2016-07-22,12.309615,12.419230,12.200000,12.326923,11.514702,2805920
2016-07-25,12.294230,12.350000,12.165384,12.303846,11.493146,2782000
2016-07-26,12.284615,12.325000,11.984615,11.984615,11.194945,4763200
2016-07-27,12.094230,12.123076,11.942307,11.953846,11.166205,4377880
2016-07-28,12.019230,12.346153,11.994230,12.346153,11.532667,4927000
2016-07-29,12.557692,12.884615,12.532692,12.746153,11.906310,7154160
2016-08-01,12.753846,12.784615,12.661538,12.742307,11.902714,5501600
2016-08-02,12.694230,12.744230,12.519230,12.578846,11.750025,3911960
2016-08-03,12.578846,12.611538,12.353846,12.605769,11.775175,5847400
2016-08-04,12.605769,12.788461,12.538461,12.586538,11.757213,4561960
2016-08-05,12.634615,12.880769,12.576923,12.684615,11.848826,2958280
2016-08-08,12.684615,12.769230,12.521153,12.619230,11.787745,2000960
2016-08-09,12.692307,12.694230,12.275000,12.388461,11.572184,4759040
2016-08-10,12.417307,12.488461,12.055769,12.142307,11.342252,4003480
2016-08-11,12.176923,12.259615,12.080769,12.182692,11.379974,3786640
2016-08-12,12.230769,12.242307,12.042307,12.057692,11.263208,3555240
2016-08-15,12.059615,12.184615,11.923076,11.925000,11.139261,4714840
2016-08-16,11.869230,11.869230,11.467307,11.480769,10.724300,10117120
2016-08-17,11.500000,11.800000,11.221153,11.800000,11.022497,15790320
2016-08-18,11.811538,11.851923,11.617307,11.734615,10.961421,7937280
2016-08-19,11.723076,11.934615,11.475000,11.823076,11.044054,4729400
2016-08-22,11.842307,11.863461,11.448076,11.534615,10.774598,4147520
2016-08-23,11.563461,11.601923,11.384615,11.388461,10.638074,4490720
2016-08-24,11.196153,11.330769,11.100000,11.267307,10.524905,6571240
2016-08-25,11.317307,11.700000,11.261538,11.576923,10.814119,7913880
2016-08-26,11.638461,11.738461,11.346153,11.473076,10.717113,5675800
2016-08-29,11.480769,11.509615,11.232692,11.451923,10.697354,4029480
2016-08-30,11.507692,11.507692,11.232692,11.382692,10.632689,4134520
2016-08-31,11.375000,11.476923,11.134615,11.476923,10.720705,7127120
2016-09-01,11.461538,11.523076,11.240384,11.451923,10.697354,6924840
2016-09-02,11.482692,11.890384,11.390384,11.826923,11.047646,9074520
2016-09-05,11.884615,12.019230,11.798076,11.942307,11.155430,3826160
2016-09-06,11.998076,12.148076,11.888461,12.148076,11.347639,5445960
2016-09-08,12.134615,12.238461,11.990384,12.144230,11.344045,7766200
2016-09-09,11.955769,12.148076,11.919230,11.971153,11.182370,6060600
2016-09-12,11.969230,12.315384,11.917307,12.315384,11.503922,5435560
2016-09-13,12.261538,12.276923,12.046153,12.121153,11.322489,5060120
2016-09-14,12.098076,12.286538,12.076923,12.251923,11.444643,3130400
2016-09-15,12.307692,12.500000,12.307692,12.423076,11.604520,6305520
2016-09-16,12.392307,12.540384,12.250000,12.540384,11.714096,6222320
2016-09-19,12.548076,12.807692,12.548076,12.807692,11.963791,6731920
2016-09-20,12.863461,13.213461,12.796153,13.163461,12.296120,9114560
2016-09-21,13.051923,13.384615,12.978846,13.307692,12.430847,5965960
2016-09-22,13.407692,13.409615,12.940384,12.996153,12.139835,5710640
2016-09-23,12.923076,13.175000,12.923076,13.080769,12.218878,3735160
2016-09-26,13.071153,13.121153,12.846153,12.846153,11.999721,5061160
2016-09-27,12.842307,13.050000,12.740384,12.809615,11.992408,4228640
2016-09-28,12.817307,12.938461,12.671153,12.807692,11.990606,4158960
2016-09-29,12.807692,13.017307,12.740384,12.742307,11.929394,4834440
2016-09-30,12.738461,12.963461,12.538461,12.746153,11.932995,6732960
2016-10-03,12.640384,13.046153,12.598076,12.821153,12.003210,5587400
2016-10-04,12.819230,12.975000,12.688461,12.975000,12.147243,4795960
2016-10-05,13.028846,13.326923,12.982692,13.221153,12.377692,3971760
2016-10-06,13.207692,13.288461,13.003846,13.007692,12.177852,3789760
2016-10-07,13.073076,13.171153,12.871153,13.144230,12.305676,4598360
2016-10-10,13.148076,13.184615,12.967307,12.980769,12.152642,3803280
2016-10-11,12.980769,13.038461,12.903846,12.903846,12.080626,3658720
2016-10-13,12.884615,13.250000,12.850000,13.203846,12.361490,11291280
2016-10-14,13.201923,13.553846,13.119230,13.259615,12.413699,4415320
2016-10-17,13.411538,13.648076,13.238461,13.461538,12.602741,5666960
2016-10-18,13.461538,13.521153,13.309615,13.442307,12.584739,4114760
2016-10-19,13.442307,13.565384,13.148076,13.221153,12.377692,3719040
2016-10-20,13.148076,13.361538,13.021153,13.269230,12.422701,3879720
2016-10-21,13.273076,13.401923,13.215384,13.263461,12.417300,2051920
2016-10-24,13.344230,13.517307,13.250000,13.461538,12.602741,4102280
2016-10-25,13.519230,13.542307,13.317307,13.423076,12.566733,4805320
2016-10-26,13.403846,13.415384,13.192307,13.263461,12.417300,4720040
2016-10-27,13.315384,13.492307,13.180769,13.219230,12.375894,5442320
2016-10-28,13.480769,13.596153,13.326923,13.461538,12.602741,7172880
2016-10-31,13.480769,13.680769,13.338461,13.626923,12.757574,5735600
2016-11-01,13.696153,13.700000,13.261538,13.344230,12.492916,4885920
2016-11-03,13.342307,13.342307,12.807692,12.884615,12.062625,6991920
2016-11-04,12.886538,13.053846,12.765384,12.892307,12.069823,5650320
2016-11-07,12.990384,13.192307,12.798076,13.142307,12.303877,3942120
2016-11-08,13.144230,13.209615,12.807692,12.884615,12.062625,3391440
2016-11-09,12.625000,13.013461,12.438461,12.900000,12.077027,6169800
2016-11-10,12.932692,13.113461,12.405769,12.588461,11.785362,6809920
2016-11-11,12.423076,12.730769,12.211538,12.300000,11.515308,8197800
2016-11-14,12.209615,12.709615,12.140384,12.451923,11.657538,8672560
2016-11-16,12.346153,12.717307,12.309615,12.536538,11.736754,5455840
2016-11-17,12.550000,12.651923,12.246153,12.298076,11.513505,51623520
2016-11-18,12.211538,12.765384,12.203846,12.534615,11.734951,6326840
2016-11-21,12.634615,12.742307,12.480769,12.673076,11.864580,3886480
