Sigla da UF,Rede,TX_Apro,Indicador de Rendimento (P),SAEB_M,SAEB_P,Nota Média Padronizada (N),"IDEB
2021
(N x P)"
,,,,,,,
,,,,,,,
SG_UF,REDE,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2021
AM,Municipal,96.8,0.98,174.63,173.04,2.46,2.4
AM,Municipal,80.6,0.81,175.09,197.36,2.87,2.3
AM,Estadual,83.8,0.85,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,84.4,0.83,ND,ND,-,-
AM,Municipal,95.1,0.95,ND,ND,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,98.6,0.99,238.88,244.14,4.72,4.6
AM,Estadual,91.5,0.91,233.91,228.13,4.37,4.0
AM,Municipal,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,79.9,0.79,ND,ND,-,-
AM,Municipal,89.2,0.88,200.81,207.70,3.48,3.1
AM,Estadual,97.6,0.97,228.92,238.23,4.45,4.3
AM,Estadual,94.7,0.95,229.13,244.38,4.56,4.3
AM,Estadual,100.0,1.00,284.41,297.38,6.36,6.4
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,100.0,1.00,208.24,207.63,3.60,3.6
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,98.7,0.98,203.47,203.79,3.45,3.4
AM,Municipal,100.0,1.00,205.90,208.56,3.57,3.6
AM,Municipal,100.0,1.00,221.79,222.04,4.06,4.1
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,100.0,1.00,213.54,210.70,3.74,3.7
AM,Municipal,100.0,1.00,239.01,242.94,4.70,4.7
AM,Municipal,93.2,0.91,209.00,205.84,3.58,3.3
AM,Municipal,98.4,0.98,208.02,232.65,4.01,3.9
AM,Municipal,-,-,-,-,-,-
AM,Municipal,98.3,0.97,216.75,236.88,4.23,4.1
AM,Municipal,100.0,1.00,211.22,208.54,3.66,3.7
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,100.0,1.00,271.16,272.85,5.73,5.7
AM,Estadual,100.0,1.00,232.41,228.00,4.34,4.3
AM,Estadual,100.0,1.00,211.79,203.05,3.58,3.6
AM,Estadual,100.0,1.00,220.43,230.55,4.18,4.2
AM,Estadual,100.0,1.00,237.67,238.47,4.60,4.6
AM,Estadual,100.0,1.00,240.57,242.77,4.72,4.7
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,98.5,0.99,237.47,247.71,4.75,4.7
AM,Municipal,99.1,0.99,208.31,216.00,3.74,3.7
AM,Municipal,100.0,1.00,190.86,182.77,2.89,2.9
AM,Municipal,100.0,1.00,219.39,227.37,4.11,4.1
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,100.0,1.00,231.60,240.68,4.54,4.5
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,100.0,1.00,225.91,233.04,4.32,4.3
AM,Municipal,100.0,1.00,227.22,230.62,4.30,4.3
AM,Municipal,98.8,0.99,ND,ND,-,-
AM,Municipal,100.0,1.00,224.22,221.10,4.09,4.1
AM,Estadual,99.7,1.00,271.97,277.40,5.82,5.8
AM,Estadual,100.0,1.00,231.18,235.41,4.44,4.4
AM,Estadual,100.0,1.00,215.06,216.32,3.86,3.9
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,254.43,243.17,4.96,5.0
AM,Estadual,100.0,1.00,218.69,218.59,3.95,4.0
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,213.71,211.22,3.75,3.7
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Estadual,96.6,0.97,230.73,232.67,4.39,4.3
AM,Municipal,100.0,1.00,241.37,217.54,4.32,4.3
AM,Municipal,-,-,-,-,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,208.97,220.87,3.83,3.8
AM,Municipal,-,-,-,-,-,-
AM,Municipal,100.0,1.00,215.37,223.89,3.99,4.0
AM,Estadual,-,-,-,-,-,-
AM,Federal,98.2,0.98,ND,ND,-,-
AM,Estadual,97.5,0.97,247.48,253.92,5.02,4.9
AM,Estadual,99.5,0.99,267.49,266.99,5.57,5.5
AM,Municipal,-,-,-,-,-,-
AM,Estadual,93.1,0.93,264.31,267.52,5.53,5.2
AM,Estadual,93.4,0.93,246.96,256.09,5.05,4.7
AM,Estadual,100.0,1.00,294.68,295.62,6.51,6.5
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,99.6,1.00,252.93,263.12,5.27,5.2
AM,Estadual,100.0,1.00,240.31,245.35,4.76,4.8
AM,Estadual,100.0,1.00,240.45,240.69,4.69,4.7
AM,Estadual,-,-,-,-,-,-
AM,Estadual,87.4,0.88,241.39,249.03,4.84,4.2
AM,Estadual,99.7,1.00,228.59,225.32,4.23,4.2
AM,Estadual,80.5,0.81,ND,ND,-,-
AM,Estadual,98.9,0.99,242.10,254.27,4.94,4.9
AM,Estadual,100.0,1.00,250.54,254.57,5.09,5.1
